Date,Symbol,AVG Price,High,Low
2022-02-28,BTC,37886.359928568,38084.522660615,37629.586117437
2022-02-27,BTC,38715.774958409,39489.600602781,37563.66164386
2022-02-26,BTC,39241.385489583,39754.015997306,38882.801173014
2022-02-25,BTC,38817.909323772,39373.737857969,38299.897755976
2022-02-24,BTC,36136.661524995,38352.447637501,34809.889638456
2022-02-23,BTC,38254.384757761,39062.313615258,37397.734120818
2022-02-22,BTC,37396.923624263,38094.12523601,36638.744119442
2022-02-21,BTC,38525.450600411,39318.355362374,37277.332177173
2022-02-20,BTC,38777.930221946,40015.11737097,38191.447346183
2022-02-19,BTC,40070.363183837,40316.965640169,39792.472890211
2022-02-18,BTC,40452.681901117,40896.315509056,39951.459394793
2022-02-17,BTC,42692.999688438,44088.7992405,40668.386650304
2022-02-16,BTC,44022.295263601,44363.720770013,43569.444189685
2022-02-15,BTC,43893.32186736,44338.701469658,42551.466188445
2022-02-14,BTC,42225.476319947,42649.572414169,41771.483391879
2022-02-13,BTC,42332.247946008,42560.607206703,42033.80973355
2022-02-12,BTC,42327.106653844,42782.591256143,42016.100198277
2022-02-11,BTC,43168.736358068,43666.885431301,42287.735802524
2022-02-10,BTC,44298.958804915,45312.18665452,43595.808218081
2022-02-09,BTC,43959.828029887,44649.753660273,43454.387078419
2022-02-08,BTC,43846.825526774,44819.344257213,43014.777188651
2022-02-07,BTC,43044.451827339,44083.037167583,41950.251975031
2022-02-06,BTC,41587.740533767,42020.375439513,41392.404859896
2022-02-05,BTC,41499.343157753,41671.101687808,41306.509314369
2022-02-04,BTC,38632.712208799,40679.662802924,37163.615700706
2022-02-03,BTC,36822.309278495,37074.71462322,36519.013913838
2022-02-02,BTC,38109.22479163,38730.275990391,37078.690787144
2022-02-01,BTC,38569.28750538,38850.719939106,38297.316125845
2022-01-31,BTC,37571.375619924,38513.571005279,36914.098053848
2022-01-30,BTC,37982.804591695,38207.441534091,37642.576812022
2022-01-29,BTC,37854.470896345,38486.563514331,37552.977850982
2022-01-28,BTC,37053.257208204,37893.449570612,36436.339762891
2022-01-27,BTC,36284.401809814,36945.099404819,35706.974685799
2022-01-26,BTC,37481.563724305,38284.744024373,36499.151643767
2022-01-25,BTC,36523.755808706,37324.445755599,35922.105538174
2022-01-24,BTC,35116.883218916,36963.209729953,33468.040143868
2022-01-23,BTC,35445.384842905,36105.619484158,35002.465374154
2022-01-22,BTC,35540.962906667,36513.635654184,34592.549939278
2022-01-21,BTC,38691.770418628,40827.699012841,36342.588988014
2022-01-20,BTC,42226.968433686,43276.396154899,40969.15113725
2022-01-19,BTC,41918.045659454,42390.37671281,41327.051081209
2022-01-18,BTC,41941.346460253,42384.030095426,41509.725821039
2022-01-17,BTC,42577.978521429,43114.573632617,41915.824330817
2022-01-16,BTC,43147.25602226,43356.958948262,42967.750109053
2022-01-15,BTC,43165.347558327,43506.085011155,42908.035084977
2022-01-14,BTC,42784.206796155,43253.363925402,42099.81697085
2022-01-13,BTC,43463.565243914,44091.435358193,42669.71936955
2022-01-12,BTC,43225.244111673,43937.935064805,42623.31963684
2022-01-11,BTC,42215.468597667,42881.933389175,41676.414491562
2022-01-10,BTC,41627.958476727,42132.250641518,40450.761779777
2022-01-09,BTC,41927.955705208,42481.175118444,41572.41290139
2022-01-08,BTC,41736.73182389,42110.337021551,40825.407128572
2022-01-07,BTC,42040.737556193,42956.99518102,41489.864664282
2022-01-06,BTC,43123.071684576,43599.867023385,42772.405347967
2022-01-05,BTC,45938.333695482,46758.571867325,43312.551087525
2022-01-04,BTC,46485.941376543,47245.793530351,46138.248416479
2022-01-03,BTC,46896.985605341,47308.084722864,46111.133450316
2022-01-02,BTC,47301.979116739,47659.569934385,47078.737522427
2022-01-01,BTC,47128.147696458,47634.838083166,46514.827510594
2021-12-31,BTC,47385.972533487,48366.38640119,46141.421104405
2021-12-30,BTC,47444.793759297,47987.976855626,46932.005403816
2021-12-29,BTC,47824.363944196,48191.637118048,47121.420953337
2021-12-28,BTC,49053.198350147,50482.54999088,47876.566734501
2021-12-27,BTC,50994.860722387,51552.313599496,50638.230235865
2021-12-26,BTC,50312.920705817,50879.419289295,50031.007915879
2021-12-25,BTC,50855.938702903,51062.105970259,50558.666614385
2021-12-24,BTC,51002.862474011,51343.592186804,50745.029821959
2021-12-23,BTC,48981.04643257,50825.845132618,48117.449298581
2021-12-22,BTC,48780.048111161,49010.0393628,48439.468237659
2021-12-21,BTC,48113.082978367,48737.145413603,46799.07290433
2021-12-20,BTC,46354.908710139,47130.9836129,45726.097081445
2021-12-19,BTC,47089.209227,47676.917482289,46600.578972852
2021-12-18,BTC,46582.064407357,47029.486965571,45833.49459491
2021-12-17,BTC,47020.625740724,47738.867768735,46067.756532277
2021-12-16,BTC,48440.016268082,48890.577097744,47656.477719613
2021-12-15,BTC,48169.168089736,49171.437051867,46824.510809102
2021-12-14,BTC,47176.140179737,48263.13265514,46662.836804074
2021-12-13,BTC,48020.492295204,49748.867743597,46400.984068936
2021-12-12,BTC,49287.381210659,50142.812088348,48621.740140641
2021-12-11,BTC,48267.753266724,48857.778455725,47406.509386689
2021-12-10,BTC,48036.159063056,49218.322399232,47396.172188876
2021-12-09,BTC,48968.146978433,50473.279133886,47397.320644541
2021-12-08,BTC,50174.71399637,50494.272632293,49140.817803442
2021-12-07,BTC,50808.084462352,51404.22754239,50275.433147004
2021-12-06,BTC,48747.447676298,50355.047775709,47508.68564113
2021-12-05,BTC,48984.414239864,49463.173705303,48207.34760283
2021-12-04,BTC,48886.831550581,53002.220046144,46954.814430348
2021-12-03,BTC,55469.470435385,56617.392634133,52970.508424053
2021-12-02,BTC,56109.842671091,56592.22711998,55766.609787618
2021-12-01,BTC,56865.753446731,57987.070796551,56334.435148468
2021-11-30,BTC,56919.625416734,57979.189805139,56074.151534566
2021-11-29,BTC,57101.063040822,57851.084335228,56658.959226882
2021-11-28,BTC,54209.334017691,56478.668529889,53600.509442966
2021-11-27,BTC,54361.206251616,54741.546272915,53783.434979754
2021-11-26,BTC,55501.020829807,58861.331959475,53662.925572372
2021-11-25,BTC,57979.959006034,58907.317203757,56987.661288577
2021-11-24,BTC,56577.340207673,57406.976014122,55994.384957732
2021-11-23,BTC,56685.11955073,57411.020768522,55915.131665244
2021-11-22,BTC,57182.854525766,58221.915528342,55719.58774526
2021-11-21,BTC,59166.131176943,59594.989083275,58837.251627058
2021-11-20,BTC,58619.809611826,59631.467886411,57711.914631116
2021-11-19,BTC,56881.07992129,57916.253872232,55707.436080536
2021-11-18,BTC,58756.628287762,60373.055133383,56263.370742954
2021-11-17,BTC,59466.216951427,60042.250663163,58692.384213131
2021-11-16,BTC,60470.968261849,62927.479413703,59156.137926161
2021-11-15,BTC,65016.09637821,65781.247050792,63681.365116997
2021-11-14,BTC,64810.767512811,65618.967088207,63677.496640914
2021-11-13,BTC,64568.934495787,65381.854673401,63933.128704986
2021-11-12,BTC,64406.835860763,65347.406664229,63257.06574099
2021-11-11,BTC,64800.462395305,65213.039639735,64394.541545182
2021-11-10,BTC,67045.289700103,70028.567752137,64395.401186465
2021-11-09,BTC,67618.451094429,68360.068188635,66637.044016869
2021-11-08,BTC,65609.924676177,67238.981150063,64276.780342767
2021-11-07,BTC,62253.433094277,63042.600172543,61598.385916305
2021-11-06,BTC,61116.170659524,61543.268654817,60563.690174297
2021-11-05,BTC,61655.881289307,62462.137549105,61116.141686223
2021-11-04,BTC,61916.553159499,62972.398306112,61100.540563969
2021-11-03,BTC,62870.383049837,63273.211752258,62005.462757568
2021-11-02,BTC,62557.395550924,63844.324796419,61048.863139363
2021-11-01,BTC,61337.486751461,62158.459729489,60303.250843466
2021-10-31,BTC,61179.434140489,62361.435935669,60458.337802837
2021-10-30,BTC,61700.741166222,62216.735600832,61370.889322833
2021-10-29,BTC,61691.073577099,62769.794580465,60878.089822813
2021-10-28,BTC,60376.319494986,61854.360575518,58639.635230138
2021-10-27,BTC,59583.195531045,61324.497760769,58585.645230684
2021-10-26,BTC,62466.623065205,63229.774722507,60533.54151697
2021-10-25,BTC,62746.249430202,63725.745089986,61133.874709909
2021-10-24,BTC,60825.926131145,61497.711899851,60032.872091056
2021-10-23,BTC,61226.029013891,61686.206330375,60687.303835138
2021-10-22,BTC,62327.888337682,63592.751788619,60593.289403911
2021-10-21,BTC,64504.433135862,66417.934046259,62601.813098634
2021-10-20,BTC,65032.961870315,66722.887381285,63876.588588688
2021-10-19,BTC,62797.914579329,64215.297184926,61898.358377948
2021-10-18,BTC,61874.914546281,62529.36377473,61013.629618381
2021-10-17,BTC,60924.23171982,61349.192011315,59839.571972609
2021-10-16,BTC,61307.994679695,61885.964729738,60587.480878802
2021-10-15,BTC,59886.437874719,61740.696783433,57228.943482579
