Date,Symbol,AVG Price,High,Low
2021-10-16,ETH,3872.230059941,3936.548679389,3818.6893444
2021-10-15,ETH,3815.261099224,3874.093170196,3753.955866009
2021-10-14,ETH,3709.499844497,3799.497337781,3607.960527054
2021-10-13,ETH,3499.398389862,3594.754991983,3441.219616646
2021-10-12,ETH,3486.831131179,3518.928987736,3431.364975515
2021-10-11,ETH,3539.672422121,3603.999510089,3423.595601027
2021-10-10,ETH,3539.735557485,3588.989921857,3446.65997986
2021-10-09,ETH,3590.115440259,3619.512742772,3562.520379889
2021-10-08,ETH,3603.909578362,3642.383533088,3564.051773696
2021-10-07,ETH,3574.441569438,3638.094465135,3520.836622227
2021-10-06,ETH,3513.951848949,3612.864336715,3369.206199566
2021-10-05,ETH,3435.179312174,3523.709615984,3380.539837725
2021-10-04,ETH,3366.464063394,3416.579349588,3310.67653919
2021-10-03,ETH,3414.682914228,3475.557110217,3379.202905342
2021-10-02,ETH,3342.733572292,3448.3157638,3270.325007627
2021-10-01,ETH,3164.457709021,3311.339018484,3001.692635656
2021-09-30,ETH,2988.740153375,3031.36877672,2873.989275001
2021-09-29,ETH,2877.118773148,2930.04224102,2803.82187631
2021-09-28,ETH,2896.644841982,2961.103402513,2822.618267938
2021-09-27,ETH,3068.507219147,3145.114626989,2968.997411476
2021-09-26,ETH,2958.386880038,3086.30193377,2774.801041544
2021-09-25,ETH,2915.912942509,2950.380849033,2859.521673604
2021-09-24,ETH,3015.875535332,3144.863724591,2889.372878
2021-09-23,ETH,3090.976673646,3164.970275657,3029.212488227
2021-09-22,ETH,3006.721613059,3065.225817088,2888.51518536
2021-09-21,ETH,2971.34973249,3079.957572164,2736.853504804
2021-09-20,ETH,3118.886617816,3304.19834164,2964.989483216
2021-09-19,ETH,3383.154708276,3439.746288671,3314.062655291
2021-09-18,ETH,3460.692245592,3527.713511179,3384.832107872
2021-09-17,ETH,3483.099617461,3584.936134947,3374.607139234
2021-09-16,ETH,3595.29569355,3649.587461939,3519.978054496
2021-09-15,ETH,3454.231333468,3586.224692685,3377.824179887
2021-09-14,ETH,3338.105819977,3418.942999945,3290.078524926
2021-09-13,ETH,3257.279911803,3406.834940555,3183.154739503
2021-09-12,ETH,3372.465159441,3444.270367858,3248.883400595
2021-09-11,ETH,3284.072393026,3332.505432081,3234.908410867
2021-09-10,ETH,3361.891334711,3489.45234318,3195.403625709
2021-09-09,ETH,3490.600573989,3538.420535608,3441.65199014
2021-09-08,ETH,3438.152330559,3531.659473934,3299.784815143
2021-09-07,ETH,3688.357216175,3937.455666998,3378.128394914
2021-09-06,ETH,3932.611112761,3952.192281042,3900.931846008
2021-09-05,ETH,3911.435323241,3960.679031676,3863.180392071
2021-09-04,ETH,3909.213976347,3944.865759961,3851.486073517
2021-09-03,ETH,3888.446815009,3979.503744976,3735.917770074
2021-09-02,ETH,3773.297880334,3816.942101066,3738.197823627
2021-09-01,ETH,3575.875956056,3783.355472268,3403.826252052
2021-08-31,ETH,3339.96294191,3427.864694145,3217.065464794
2021-08-30,ETH,3221.702056826,3337.94580384,3163.743601952
2021-08-29,ETH,3214.698395978,3275.983296825,3175.902240876
2021-08-28,ETH,3244.50420965,3271.310033963,3225.113655513
2021-08-27,ETH,3172.855705992,3272.696048423,3085.757566918
2021-08-26,ETH,3131.197317473,3229.493101316,3093.303001196
2021-08-25,ETH,3187.263576233,3234.551949791,3104.158393843
2021-08-24,ETH,3272.660144144,3350.537001639,3177.555435965
2021-08-23,ETH,3324.59153908,3348.209445006,3247.157133895
2021-08-22,ETH,3220.961515046,3265.57658959,3150.549188725
2021-08-21,ETH,3267.096491401,3292.29695697,3225.748127426
2021-08-20,ETH,3238.267693806,3277.752945804,3203.853035324
2021-08-19,ETH,3045.430626838,3167.585992768,2981.953799751
2021-08-18,ETH,3047.509276647,3107.474892498,3004.082749409
2021-08-17,ETH,3166.802803839,3275.575229359,3027.422590581
2021-08-16,ETH,3251.126101178,3320.595248635,3157.065171028
2021-08-15,ETH,3211.528197851,3308.815109702,3135.731503984
2021-08-14,ETH,3271.713324918,3313.242434969,3226.010373524
2021-08-13,ETH,3201.716942771,3307.854762696,3060.593156311
2021-08-12,ETH,3108.759287398,3231.189984025,3008.582821971
2021-08-11,ETH,3210.021175873,3255.886069124,3148.768235016
2021-08-10,ETH,3134.532598798,3191.072761491,3092.015711788
2021-08-09,ETH,3053.673679333,3165.711935969,2920.57507627
2021-08-08,ETH,3083.872161519,3163.91562232,2972.914950099
2021-08-07,ETH,3027.700836967,3130.611893337,2887.353915893
2021-08-06,ETH,2757.420111669,2935.276666667,2608.613795162
2021-08-05,ETH,2702.532919405,2821.82,2584.298514456
2021-08-04,ETH,2577.29817022,2750.665,2479.164700108
2021-08-03,ETH,2537.830543243,2616.271862133,2471.21671103
2021-08-02,ETH,2597.929453903,2649.959222347,2540.124719723
2021-08-01,ETH,2596.650326064,2674.499195547,2549.414891097
2021-07-31,ETH,2464.411572152,2544.615644562,2431.999236674
2021-07-30,ETH,2383.101524185,2443.994015694,2338.977929997
2021-07-29,ETH,2309.67983559,2379.641594103,2281.397236394
2021-07-28,ETH,2297.751022977,2322.599628276,2280.094963752
2021-07-27,ETH,2234.692677419,2308.393268717,2172.70662135
2021-07-26,ETH,2321.449296643,2397.430539686,2224.889735702
2021-07-25,ETH,2157.186474384,2181.871293661,2118.406064958
2021-07-24,ETH,2147.79389293,2192.281748433,2113.739075812
2021-07-23,ETH,2054.128830363,2104.626963752,2008.992883833
2021-07-22,ETH,1999.688354994,2026.048129908,1973.046111083
2021-07-21,ETH,1896.991597743,1990.036580345,1770.904196161
2021-07-20,ETH,1769.852661635,1824.927486742,1734.499342272
2021-07-19,ETH,1855.512808147,1905.577413012,1816.657539569
2021-07-18,ETH,1940.097435389,1980.868676876,1892.981070147
2021-07-17,ETH,1886.236938179,1908.615081943,1863.374707478
2021-07-16,ETH,1913.941614194,1951.053141082,1864.07
2021-07-15,ETH,1942.102206793,2022.418659601,1895.696516421
2021-07-14,ETH,1950.304853406,2006.434118083,1880.969855053
2021-07-13,ETH,1994.860266327,2033.980964639,1938.742953101
2021-07-12,ETH,2100.379291982,2162.241643865,2025.841746175
2021-07-11,ETH,2124.877533744,2159.600019322,2089.770200406
