,Date,Convex Finance,Convex Finance (Staking),Daily % Change,Cumulative Sum %
0,2021-05-17,68877352.2382777,,,
1,2021-05-18,71336135.207188,,0.035697989092325466,0.035697989092325466
2,2021-05-19,205022058.882452,,1.8740281245540973,1.9097261136464228
3,2021-05-20,190562570.383807,,-0.07052650128216331,1.8391996123642596
4,2021-05-21,203047925.543423,,0.06551840235188666,1.9047180147161462
5,2021-05-22,271397003.783996,,0.33661549635460886,2.241333511070755
6,2021-05-23,271120470.918802,,-0.0010189237955406938,2.2403145872752144
7,2021-05-24,263066204.749127,,-0.029707333210140408,2.210607254065074
8,2021-05-25,378084946.334751,,0.4372235563108975,2.6478308103759716
9,2021-05-26,486927245.621228,,0.2878778971276723,2.935708707503644
10,2021-05-27,592054744.451514,,0.21589980798088848,3.151608515484533
11,2021-05-28,721832025.731341,,0.21919811047212212,3.370806625956655
12,2021-05-29,814666103.862211,,0.12860897663388227,3.4994156025905374
13,2021-05-30,907202921.473636,,0.11358864346107156,3.613004246051609
14,2021-05-31,921670101.38252,,0.0159470164463138,3.6289512624979228
15,2021-01-06,966119987.627627,,0.0482275449517473,3.6771788074496703
16,2021-02-06,1274244822.0255,,0.3189301932925479,3.9961090007422184
17,2021-03-06,2397487282.79307,,0.8814965863326785,4.877605587074897
18,2021-04-06,2562908014.87287,,0.06899754308063955,4.946603130155537
19,2021-05-06,2929612252.60022,,0.1430813106047195,5.089684440760256
20,2021-06-06,3006623251.30787,,0.026287096061704984,5.115971536821961
21,2021-07-06,3084349277.41287,,0.02585160148388721,5.141823138305848
22,2021-08-06,3043176378.20055,,-0.013348974292190174,5.128474164013658
23,2021-09-06,3146841310.07595,,0.03406471363868091,5.16253887765234
24,2021-10-06,3194686374.36082,,0.015204155395975416,5.177743033048316
25,2021-11-06,3179865142.65954,,-0.0046393385655094654,5.173103694482807
26,2021-12-06,3226593587.19006,,0.014695102601564258,5.187798797084371
27,2021-06-13,3291548023.0334,,0.020130962914330475,5.207929759998701
28,2021-06-14,3362233957.62081,,0.021474982012344324,5.229404742011045
29,2021-06-15,3411761430.97206,,0.014730525589687682,5.244135267600733
30,2021-06-16,3342408634.43112,,-0.0203275633258978,5.223807704274835
31,2021-06-17,3469529095.07568,,0.038032591028833274,5.261840295303668
32,2021-06-18,3363053082.10275,,-0.030688894675664158,5.231151400628004
33,2021-06-19,3488413588.31311,,0.03727580360758931,5.268427204235594
