,Date,Curve,Curve-ETH,Daily % Change,Cumulative Sum %,Non ETH Curve TVL
326,2020-12-31,1388785547.51,1388785547.51,-0.053838340778714744,19.30946541645414,0.0
327,2021-01-01,1410145847.78,1410145847.78,0.015380560597204829,19.324845977051346,0.0
328,2021-02-01,1393085936.75,1393085936.75,-0.012097976288663714,19.31274800076268,0.0
329,2021-03-01,1455668677.02,1455668677.02,0.04492381885356078,19.357671819616243,0.0
330,2021-04-01,1468097043.59,1468097043.59,0.008537908911691927,19.366209728527934,0.0
331,2021-05-01,1414335224.48,1414335224.48,-0.036620071775728014,19.329589656752205,0.0
332,2021-06-01,1524312323.04,1524312323.04,0.07775886271971655,19.40734851947192,0.0
333,2021-07-01,1578626975.41,1578626975.41,0.03563223333501497,19.442980752806935,0.0
334,2021-08-01,1623546617.85,1623546617.85,0.028454880817131212,19.47143563362407,0.0
335,2021-09-01,1663519861.93,1663519861.93,0.024620940132249025,19.496056573756317,0.0
336,2021-10-01,1660471259.89,1660471259.89,-0.0018326213649549894,19.494223952391362,0.0
337,2021-11-01,1653185660.19,1653185660.19,-0.004387669859749699,19.489836282531613,0.0
338,2021-12-01,1545315780.65,1545315780.65,-0.06524970675562392,19.42458657577599,0.0
339,2021-01-13,1705359219.93,1705359219.93,0.10356681869428752,19.528153394470277,0.0
340,2021-01-14,1844481847.24,1844481847.24,0.08157966115532567,19.609733055625604,0.0
341,2021-01-15,1916287784.22,1916287784.22,0.038930140238272015,19.648663195863875,0.0
342,2021-01-16,2023928569.93,2023928569.93,0.05617151379682461,19.7048347096607,0.0
343,2021-01-17,2081541785.02,2081541785.02,0.028466031828382476,19.733300741489085,0.0
344,2021-01-18,2132434152.25,2132434152.25,0.024449361332187225,19.757750102821273,0.0
345,2021-01-19,2214382033.33,2214382033.33,0.0384292668514683,19.796179369672743,0.0
346,2021-01-20,2270303849.15,2270303849.15,0.025253915078015998,19.821433284750757,0.0
347,2021-01-21,2309332959.21,2309332959.21,0.017191139447969572,19.838624424198727,0.0
348,2021-01-22,2197361143.59,2197361143.59,-0.04848664856812346,19.790137775630605,0.0
349,2021-01-23,2346500575.51,2346500575.51,0.06787206206638352,19.85800983769699,0.0
350,2021-01-24,2453733987.44,2453733987.44,0.045699290700873973,19.903709128397864,0.0
351,2021-01-25,2525632628.11,2525632628.11,0.02930172587494395,19.93301085427281,0.0
352,2021-01-26,2665765759.03,2665765759.03,0.05548436829661396,19.988495222569423,0.0
353,2021-01-27,2736302120.53,2736302120.53,0.02646007484381019,20.014955297413234,0.0
354,2021-01-28,2693689728.05,2693689728.05,-0.015572985219828861,19.999382312193404,0.0
355,2021-01-29,2906601910.23,2906601910.23,0.07904109369497792,20.078423405888383,0.0
356,2021-01-30,3038756659.39,3038756659.39,0.045467096369431026,20.123890502257815,0.0
357,2021-01-31,3058247141.37,3058247141.37,0.0064139660277742205,20.13030446828559,0.0
358,2021-01-02,2989394293.11,2989394293.11,-0.022513827391057673,20.10779064089453,0.0
359,2021-02-02,3100855143.8,3100855143.8,0.03728542967613757,20.14507607057067,0.0
360,2021-03-02,3275172387.39,3275172387.39,0.05621586159499836,20.20129193216567,0.0
361,2021-04-02,3483311187.62,3483311187.62,0.06355048700073662,20.264842419166406,0.0
362,2021-05-02,3511122075.73,3511122075.73,0.007984037776711528,20.27282645694312,0.0
363,2021-06-02,3733419314.45,3733419314.45,0.063312306984878,20.336138763927995,0.0
364,2021-07-02,3884340940.2,3884340940.2,0.040424504465883526,20.376563268393877,0.0
365,2021-08-02,3828165520.99,3828165520.99,-0.014462020732687653,20.36210124766119,0.0
366,2021-09-02,4186614787.92,4186614787.92,0.0936347357408156,20.455735983402008,0.0
367,2021-10-02,4208527121.58,4208527121.58,0.005233902513129607,20.460969885915137,0.0
368,2021-11-02,4131586942.11,4131586942.11,-0.018281973062612478,20.442687912852524,0.0
369,2021-12-02,4307058935.07,4307058935.07,0.04247084604986817,20.485158758902394,0.0
370,2021-02-13,4345243879.15,4345243879.15,0.008865665563357217,20.49402442446575,0.0
371,2021-02-14,4315805114.26,4315805114.26,-0.006774939614150766,20.4872494848516,0.0
372,2021-02-15,4429058750.95,4429058750.95,0.026241601205715837,20.513491086057314,0.0
373,2021-02-16,4430455119.94,4430455119.94,0.0003152744338061897,20.51380636049112,0.0
374,2021-02-17,4458214915.35,4458214915.35,0.00626567579593873,20.520072036287058,0.0
375,2021-02-18,4515449125.04,4515449125.04,0.01283792073211587,20.532909957019175,0.0
376,2021-02-19,4532660952.58,4532660952.58,0.003811764248334404,20.536721721267508,0.0
377,2021-02-20,4636858097.2,4636858097.2,0.022988073829058653,20.559709795096566,0.0
378,2021-02-21,4629719157.55,4629719157.55,-0.0015396071004006862,20.558170187996165,0.0
379,2021-02-22,4702478520.7,4702478520.7,0.015715718529351053,20.573885906525515,0.0
380,2021-02-23,4492212725.39,4492212725.39,-0.044713823653722895,20.529172082871792,0.0
381,2021-02-24,4103515040.09,4103515040.09,-0.08652699884470738,20.442645084027085,0.0
382,2021-02-25,4173590173.86,4173590173.86,0.017076855594627682,20.459721939621712,0.0
383,2021-02-26,4028844673.9,4028844673.9,-0.03468129210830739,20.425040647513406,0.0
384,2021-02-27,3912144173.39,3912144173.39,-0.028966244657189,20.396074402856218,0.0
385,2021-02-28,3844737502.85,3844737502.85,-0.017230109002243088,20.378844293853977,0.0
