"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 28, 2022","86.317","85.607","87.995","84.250","3.55M","0.83%"
"Feb 27, 2022","85.607","90.130","92.147","84.190","3.63M","-5.02%"
"Feb 26, 2022","90.130","92.778","94.877","89.366","3.18M","-2.85%"
"Feb 25, 2022","92.778","89.409","94.995","87.035","5.31M","3.77%"
"Feb 24, 2022","89.409","84.514","92.837","75.693","10.39M","5.90%"
"Feb 23, 2022","84.431","86.413","93.211","84.431","4.59M","-2.29%"
"Feb 22, 2022","86.413","82.879","87.380","81.160","4.22M","4.26%"
"Feb 21, 2022","82.879","90.693","95.988","82.806","5.64M","-8.52%"
"Feb 20, 2022","90.600","91.264","93.808","85.878","3.61M","-0.73%"
"Feb 19, 2022","91.264","89.920","92.553","88.760","1.83M","1.45%"
"Feb 18, 2022","89.960","93.591","96.334","89.474","3.02M","-3.88%"
"Feb 17, 2022","93.591","101.763","102.740","92.411","3.05M","-8.03%"
"Feb 16, 2022","101.763","105.352","105.558","98.315","3.24M","-3.41%"
"Feb 15, 2022","105.352","96.458","105.606","96.388","3.60M","9.22%"
"Feb 14, 2022","96.458","92.811","97.762","91.058","2.99M","3.93%"
"Feb 13, 2022","92.811","95.970","97.273","91.447","1.95M","-3.21%"
"Feb 12, 2022","95.891","96.483","99.750","93.254","2.76M","-0.61%"
"Feb 11, 2022","96.483","106.170","108.103","95.307","4.50M","-9.14%"
"Feb 10, 2022","106.190","113.991","114.930","105.816","4.14M","-6.84%"
"Feb 09, 2022","113.991","113.293","117.005","109.581","3.20M","0.62%"
"Feb 08, 2022","113.293","117.512","120.152","109.887","4.41M","-3.59%"
"Feb 07, 2022","117.512","115.286","121.836","112.906","4.36M","1.93%"
"Feb 06, 2022","115.286","113.912","115.987","111.723","2.29M","1.21%"
"Feb 05, 2022","113.912","112.401","118.520","110.340","4.10M","1.35%"
"Feb 04, 2022","112.401","101.827","112.710","100.388","6.26M","10.55%"
"Feb 03, 2022","101.675","101.970","103.073","94.207","5.88M","-0.23%"
"Feb 02, 2022","101.908","109.981","112.266","97.121","7.80M","-7.34%"
"Feb 01, 2022","109.981","99.515","113.498","99.172","7.11M","10.39%"
"Jan 31, 2022","99.627","93.418","101.346","89.264","4.26M","6.68%"
"Jan 30, 2022","93.385","96.029","97.461","91.471","2.13M","-2.91%"
"Jan 29, 2022","96.186","91.375","98.676","90.709","3.44M","5.33%"
"Jan 28, 2022","91.318","89.513","93.526","87.338","4.59M","2.12%"
"Jan 27, 2022","89.422","91.905","94.404","85.887","5.83M","-2.70%"
"Jan 26, 2022","91.905","94.704","103.487","89.487","7.29M","-2.96%"
"Jan 25, 2022","94.704","91.849","99.882","87.585","5.83M","3.18%"
"Jan 24, 2022","91.784","99.770","99.835","80.919","10.99M","-8.00%"
"Jan 23, 2022","99.766","94.679","104.673","93.326","5.64M","5.39%"
"Jan 22, 2022","94.665","112.312","114.048","88.480","10.27M","-15.75%"
"Jan 21, 2022","112.362","127.639","128.651","106.543","8.18M","-11.99%"
"Jan 20, 2022","127.672","135.310","143.831","126.537","2.50M","-5.62%"
"Jan 19, 2022","135.276","141.337","142.663","132.969","2.05M","-4.25%"
"Jan 18, 2022","141.282","139.832","142.598","134.454","2.04M","1.04%"
"Jan 17, 2022","139.824","148.016","148.260","137.144","2.13M","-5.49%"
"Jan 16, 2022","147.954","147.660","151.918","146.174","1.52M","0.19%"
"Jan 15, 2022","147.677","146.158","149.524","144.147","1.52M","1.04%"
"Jan 14, 2022","146.162","146.096","150.584","142.044","2.35M","0.07%"
"Jan 13, 2022","146.061","151.530","157.712","145.590","3.04M","-3.55%"
"Jan 12, 2022","151.437","140.209","153.119","138.286","3.21M","8.01%"
"Jan 11, 2022","140.209","135.873","143.456","133.626","2.41M","3.12%"
"Jan 10, 2022","135.964","140.787","143.741","130.147","3.30M","-3.40%"
"Jan 09, 2022","140.755","142.033","145.664","137.890","2.21M","-0.90%"
"Jan 08, 2022","142.033","136.388","148.026","133.283","4.18M","4.13%"
"Jan 07, 2022","136.405","150.336","150.650","133.973","4.69M","-9.27%"
